projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
8415;1494;MADS;participant;976;BELL TELEPHONE MFG CO NV;;;;;BE;FRANCIS WELLESPLEIN;ANTWERPEN;2018;;;;;;;;;;
8415;1494;MADS;participant;999902094;VRIJE UNIVERSITEIT BRUSSEL;;HES;;;BE;PLEINLAAN;BRUSSELS;1050;;;;;;;;;;
8415;1494;MADS;participant;48922;Alcatel Alsthom Recherche;;;;;FR;Route de Nozay;Marcoussis;91460;;;;;;;;;;
8415;1494;MADS;coordinator;3932;Delphi SpA;;;;;IT;Via della Vetraia 11;Viareggio Lucca;55049;;;;;;;;;;
8488;1592;TAO;participant;;Medimatica Ltd;;;;;UK;15 Irvine Street;London;;;;;;;;;;;
8488;1592;TAO;participant;999975426;UNIVERSITY OF LEEDS;;HES;;;UK;Woodhouse Lane;LEEDS;LS2 9JT;;;;;;;;;;
8488;1592;TAO;participant;6398;Framentec SA;;;;;FR;"Tour Fiat
1 place de la Coupole";Paris la Défense;92084;;;;;;;;;;
8488;1592;TAO;coordinator;;Meterquest Ltd;;;;;UK;"Deacon House
56 Old Church Street";London;SW3 5BS;;;;;;;;;;
8488;1592;TAO;participant;;CITSA;;;;;ES;UNIVERSITY SANTIAGO DE COMPOSTELA;SANTIAGO DE COMPOSTELA;;;;;;;;;;;
8655;1627;IKAROS;coordinator;48922;Alcatel Alsthom Recherche;;;;;FR;Route de Nozay;Marcoussis;91460;;;;;;;;;;
8655;1627;IKAROS;participant;97446;Fraunhofer-Gesellschaft zur Förderung der Angewandten Forschung eV (FhG);;;;;DE;Holzgartenstraße 17;Stuttgart;70174;;;;;;;;;;
8655;1627;IKAROS;participant;36041;GEC-Marconi Materials Technology Ltd;;;;;UK;Elstree Way;Borehamwood;WD6 1RX;;;;;;;;;;
8655;1627;IKAROS;participant;999974747;UNIVERSITAET STUTTGART;;HES;;;DE;Pfaffenwaldring 47;Stuttgart;70569;;;;;;;;;;
8659;1629;A-SI IMAGER;coordinator;15716;IMEC VZW;;;;;BE;KAPELDREEF;HEVERLEE;3030;;;;;;;;;;
8659;1629;A-SI IMAGER;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);;;;;FR;23 rue du Loess;Strasbourg;67037;;;;;;;;;;
8659;1629;A-SI IMAGER;participant;;MBB-MESSERSCHMITT BOLKOW BLOHM GMBH;;;;;DE;HERMANN OBERTHSTRAßE;PUTZBRUNN;8011;;;;;;;;;;
8659;1629;A-SI IMAGER;participant;;AGFA GEVAERT AG;;;;;BE;MECHELSESTEENWEG;EDEGEM;2520;;;;;;;;;;
8644;1608;LION;participant;999013467;UNIVERSITY OF PATRAS;;HES;;;EL;PATRAS UNIVERSITY;PATRAI;10;;;;;;;;;;
8644;1608;LION;participant;999879881;Politecnico di Milano;;;;;IT;VIA BONARDI 9;Milano;20133;;;;;;;;;;
8644;1608;LION;participant;;NKT ELEKTRONIK;;;;;DK;BRONDBYVESTERVEJ 95;BRONDBY;2605;;;;;;;;;;
8644;1608;LION;participant;999907235;UNIVERSITE PARIS-SUD;;HES;;;FR;Rue de l'Ecole de Medecine;Paris;75006;;;;;;;;;;
8644;1608;LION;participant;38437;ALCATEL TITN;;;;;FR;"Rue Denis Papin
Zone Industrielle La Vigne aux Loups";Chilly-Mazarin;91380;;;;;;;;;;
8644;1608;LION;coordinator;48919;Centro Studi e Laboratori Telecomunicazioni SpA;;;;;IT;Via G. Reiss Romoli, 274;TORINO;10148;http://www.cselt.stet.it/Cselt/index_text.htm;;;;;;;;;
8644;1608;LION;participant;;UNIVERSITE PAUL SABATIER DE TOULOUSE III;;;;;FR;Route de Narbonne 118;TOULOUSE;31062;;;;;;;;;;
8644;1608;LION;participant;63979;British Telecom plc (BT);;;;;UK;"British Telecom Centre
81 Newgate Street";London;EC1A 7AJ;http://www.euro6ix.org;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;Europart Electronik- und Kunststoffwerke GmbH;;;;;DE;;Bremen;2800;;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;Tecno Design Engineering Ltd;;;;;IE;Finisklin Industrial Estate;Sligo;95;;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;CIG-Intersys Systems;;;;;BE;7,Avenue Lloyd George;Bruxelles;1040;;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;Cadco NV;;;;;BE;13,O.L.Vrouwstraat;Beringen;3580;;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;ALCATEL BELL NV;;;;;BE;FRANCIS WELLESPLEIN 1;ANTWERPEN;2018;;;;;;;;;;
28486;RI1B0081;MODESTI;coordinator;;Centre de Recherches Scientifiques et Techniques de l'Industrie des Fabrications Métalliques - CRIF/WTCM;;;;;BE;300C,Celestijnenlaan;Heverlee;3001;;;;;;;;;;
28486;RI1B0081;MODESTI;participant;;Picanol NV;;;;;BE;3,Polenlaan 3;Ieper;8900;;;;;;;;;;
12472;EN3W0047;AWEC-60;participant;;JEN INSTITUTO ENERGY REMOVABLES;;;;;ES;;;;;;;;;;;;;
12472;EN3W0047;AWEC-60;participant;;UNION ELECTRICA FENOSA;;;;;ES;;;;;;;;;;;;;
12472;EN3W0047;AWEC-60;participant;;MAN;;;;;DE;;;;;;;;;;;;;
14017;FI1W0054;COSA II;coordinator;;Atkins Wootton Jeffreys Consultants Ltd;;;;;UK;"Woodcote Grove
Ashley Road";Epsom;KT18 5BW;;;;;;;;;;
12566;EN3S0121;ACIPA;participant;;CONPHOEBUS SCRL - ISTITUTO DI RICERCHE PER LE ENERGIE RINNOVABILI E IL RISPARMIO ENERGETICO;;;;;IT;Passo Martino Zona Industriale;CATANIA, PIANO D'ARCI;95030;;;;;;;;;;
12566;EN3S0121;ACIPA;coordinator;;Ente Nazionale per l'Energia Elettrica SpA (ENEL);;;;;IT;Via Alessandro Volta 1;Cologno Monzese;20093;;;;;;;;;;
11748;FI1W0104;PAGIS II;coordinator;;Associated Nuclear Services Ltd;;;;;UK;"East Leigh House
60 East Street";Epsom;KT17 1HA;;;;;;;;;;
11775;FI1W0042;PACOMA;coordinator;;Principia Mechanica Ltd;;;;;UK;50 Vineyard Path;London;SW14 8ET;;;;;;;;;;
8485;1570;ESCA;coordinator;;PHILIPS SCIENTIFIC;;;;;UK;YORK STREET;CAMBRIDGE;CB1 2PX;;;;;;;;;;
8485;1570;ESCA;participant;100125;KATHOLIEKE UNIVERSITEIT NIJMEGEN;;;;;NL;TOERNOOIVELD 1;NIJMEGEN;6525 ED;;;;;;;;;;
8485;1570;ESCA;participant;999902094;VRIJE UNIVERSITEIT BRUSSEL;;HES;;;BE;LAARBEEKLAAN;BRUSSELS;1090;;;;;;;;;;
8485;1570;ESCA;participant;;ORGANON INTERNATIONAL BV;;;;;NL;Postbus 20;OSS;5340 BH;;;;;;;;;;
8810;1636;CATHEDRAL;participant;976;BELL TELEPHONE MFG CO NV;;;;;BE;FRANCIS WELLESPLEIN;ANTWERPEN;2018;;;;;;;;;;
8810;1636;CATHEDRAL;coordinator;15716;IMEC VZW;;;;;BE;KAPELDREEF;HEVERLEE;3030;;;;;;;;;;
8810;1636;CATHEDRAL;participant;8106;PHILIPS DUPONT OPTICAL;;;;;NL;GROENENWOUDSEWEG;EINDHOVEN;5621 BA;;;;;;;;;;
8810;1636;CATHEDRAL;participant;;EUROPEAN DEVELOPMENT CENTER;;;;;BE;ABDIJSTRAAT;HEVERLEE;3030;;;;;;;;;;
8810;1636;CATHEDRAL;participant;75902;Siemens Nixdorf Informationssysteme AG;;;;;DE;Otto-Hahn-Ring 6;München;81739;;;;;;;;;;
8810;1636;CATHEDRAL;participant;;RUHR-UNIVERSITY BOCHUM;;;;;DE;Universitätsstraße 150;BOCHUM;44780;;;;;;;;;;
8471;1258;TRUST;participant;;Software Engineering Services GmbH;;;;;DE;Pappelstraße 6;Neubiberg;85579;;;;;;;;;;
8471;1258;TRUST;participant;;City University;;;;;UK;Northampton Square;London;EC1V 0HB;;;;;;;;;;
8471;1258;TRUST;coordinator;999980567;UNIVERSITY OF LIVERPOOL;;HES;;;UK;Brownlow Hill Street;Liverpool;L69 3BX;;;;;;;;;;
8471;1258;TRUST;participant;;John Bell Technical Systems Ltd;;;;;UK;"161 Fleet Road
Cove";Fleet;GU13 8PD;;;;;;;;;;
8471;1258;TRUST;participant;;Liverpool Data Research Association;;;;;UK;131 Mount Pleasant;Liverpool;L3 5TF;;;;;;;;;;
8455;1063;INSTIL;coordinator;28760;GEC Marconi Research Centre;;;;;UK;"West Hanningfield Road
Great Baddow";Chelmsford;CM2 8HN;;;;;;;;;;
8455;1063;INSTIL;participant;;Framentec Cognitech SA;;;;;FR;"Tour Fiat
1 place de la Coupole";Paris la Défense;92084;;;;;;;;;;
8455;1063;INSTIL;participant;999907235;UNIVERSITE PARIS-SUD;;HES;;;FR;Avenue Georges Clémenceau;Orsay;91405;;;;;;;;;;
8657;890;PANGLOSS;participant;999976105;UNIVERSITE DE LIEGE;;HES;;;BE;CAMPUS DU SART-TILMAN,BATIMENT;LIEGE;4000;;;;;;;;;;
8657;890;PANGLOSS;participant;;University of Reading;;;;;UK;Whiteknights Park;Reading;RG6 2AX;;;;;;;;;;
8657;890;PANGLOSS;participant;18362;UNIVERSITEIT VAN TWENTE;;HES;;;NL;DRIENERLOLAAN Postbus 217;ENSCHEDE;7500 AE;;;;;;;;;;
